Station Name,lat,lon
barnstable-harbor-beach-point,"41° 43' 18"" N","70° 17' 06"" W"
sesuit-harbor-east-dennis,"41° 45' 06"" N","70° 09' 18"" W"
wellfleet,"41° 55' 44"" N","70° 02' 28"" W"
provincetown,"42° 02' 59"" N","70° 10' 56"" W"
chatham-stage-harbor,"41° 39' 56"" N","69° 57' 56"" W"
chatham,"41° 41' 19"" N","69° 57' 04"" W"
pleasant-bay,"41° 44' 12"" N","69° 58' 54"" W"
saquatucket-harbor,"41° 40' 05"" N","70° 03' 29"" W"
wychmere-harbor,"41° 39' 54"" N","70° 03' 54"" W"
dennisport,"41° 39' 24"" N","70° 06' 54"" W"
south-yarmouth-bass-river,"41° 39' 54"" N","70° 10' 60"" W"
hyannis-port,"41° 37' 53"" N","70° 17' 56"" W"
cotuit-highlands,"41° 36' 28"" N","70° 26' 03"" W"
poponesset-island-poponesset-bay,"41° 35' 12"" N","70° 27' 48"" W"
falmouth-heights,"41° 32' 38"" N","70° 35' 35"" W"
great-point,"41° 23' 12"" N","70° 02' 48"" W"
nantucket-island,"41° 17' 06"" N","70° 05' 48"" W"
eel-point,"41° 17' 30"" N","70° 12' 30"" W"
muskeget-island-north-side,"41° 20' 12"" N","70° 18' 18"" W"
wasque-point-chappaquiddick-island,"41° 21' 48"" N","70° 27' 00"" W"
marthas-vineyard-gps-buoy,"41° 19' 34"" N","70° 35' 25"" W"
squibnocket-point,"41° 18' 42"" N","70° 46' 06"" W"
no-mans-land,"41° 15' 42"" N","70° 49' 06"" W"
gay-head,"41° 21' 12"" N","70° 49' 48"" W"
cedar-tree-neck,"41° 26' 06"" N","70° 41' 48"" W"
vineyard-haven-vineyard-hvn-hbr,"41° 27' 30"" N","70° 35' 60"" W"
oak-bluffs,"41° 27' 30"" N","70° 33' 18"" W"
edgartown,"41° 23' 18"" N","70° 30' 42"" W"
little-harbor,"41° 31' 12"" N","70° 39' 54"" W"
oceanographic-institution,"41° 31' 24"" N","70° 40' 18"" W"
uncatena-island-south-side,"41° 31' 12"" N","70° 42' 30"" W"
quicks-hole,"41° 26' 54"" N","70° 51' 24"" W"
cuttyhunk,"41° 25' 30"" N","70° 55' 00"" W"
penikese-island,"41° 27' 00"" N","70° 55' 18"" W"
chappaquoit-point,"41° 36' 18"" N","70° 39' 06"" W"
monument-beach,"41° 42' 54"" N","70° 37' 00"" W"
gray-gables,"41° 44' 06"" N","70° 37' 24"" W"
buzzards-bay,"41° 44' 30"" N","70° 37' 00"" W"
onset-beach-onset-bay,"41° 44' 30"" N","70° 39' 30"" W"
great-hill,"41° 42' 42"" N","70° 42' 54"" W"
marion-sippican-harbor,"41° 42' 18"" N","70° 45' 42"" W"
piney-point,"41° 41' 42"" N","70° 43' 12"" W"
mattapoisett-mattapoisett-harbor,"41° 39' 24"" N","70° 48' 48"" W"
clarks-point,"41° 35' 36"" N","70° 54' 00"" W"
new-bedford,"41° 38' 24"" N","70° 55' 06"" W"
round-hill-point,"41° 32' 18"" N","70° 55' 42"" W"
westport-harbor,"41° 30' 30"" N","71° 05' 36"" W"
hix-bridge-east-branch,"41° 34' 12"" N","71° 04' 24"" W"
fall-river,"41° 42' 15"" N","71° 09' 51"" W"
steep-brook-taunton-river,"41° 44' 24"" N","71° 07' 54"" W"
jaffrey-point,"43° 03' 20"" N","70° 42' 44"" W"
fort-point,"43° 04' 18"" N","70° 42' 42"" W"
portsmouth,"43° 04' 40"" N","70° 45' 07"" W"
atlantic-heights,"43° 05' 21"" N","70° 45' 50"" W"
dover-point,"43° 07' 03"" N","70° 49' 41"" W"
dover-cocheco-river,"43° 11' 45"" N","70° 52' 06"" W"
salmon-falls-river,"43° 11' 21"" N","70° 49' 24"" W"
squamscott-river-rr-bridge,"43° 03' 12"" N","70° 54' 48"" W"
gosport-harbor-isles-of-shoals,"42° 58' 42"" N","70° 36' 54"" W"
hampton-harbor,"42° 53' 42"" N","70° 49' 00"" W"
weehawken-union-city,"40° 45' 54"" N","74° 01' 06"" W"
edgewater,"40° 48' 48"" N","73° 58' 42"" W"
alpine,"40° 56' 42"" N","73° 55' 06"" W"
constable-hook,"40° 39' 18"" N","74° 05' 06"" W"
point-no-point,"40° 43' 54"" N","74° 07' 00"" W"
belleville,"40° 47' 12"" N","74° 08' 48"" W"
east-rutherford,"40° 50' 48"" N","74° 07' 12"" W"
kearny-point,"40° 43' 42"" N","74° 06' 12"" W"
amtrak-rr-swing-bridge,"40° 45' 06"" N","74° 05' 48"" W"
fish-creek-berrys-creek,"40° 47' 36"" N","74° 05' 30"" W"
carlstadt-garretts-reach,"40° 48' 24"" N","74° 03' 36"" W"
north-secaucus-garretts-reach,"40° 48' 18"" N","74° 03' 12"" W"
ridgefield-park,"40° 51' 00"" N","74° 01' 48"" W"
hackensack,"40° 52' 48"" N","74° 02' 24"" W"
new-milford,"40° 56' 05"" N","74° 01' 42"" W"
rahway-river-rr-bridge,"40° 35' 54"" N","74° 13' 54"" W"
chelsea,"40° 36' 00"" N","74° 12' 00"" W"
carteret,"40° 35' 12"" N","74° 12' 36"" W"
woodbridge-creek-08-nmi-above-entrance,"40° 32' 39"" N","74° 15' 55"" W"
south-amboy,"40° 29' 30"" N","74° 16' 54"" W"
keasbey,"40° 30' 30"" N","74° 18' 42"" W"
sayreville,"40° 28' 42"" N","74° 21' 24"" W"
old-bridge-south-river,"40° 24' 59"" N","74° 21' 42"" W"
new-brunswick,"40° 29' 18"" N","74° 26' 06"" W"
cheesequake-creek-garden-state-parkway,"40° 27' 13"" N","74° 16' 24"" W"
keyport,"40° 26' 24"" N","74° 11' 54"" W"
matawan-creek,"40° 25' 59"" N","74° 13' 02"" W"
keansburg-waackaack-creek,"40° 26' 55"" N","74° 08' 50"" W"
atlantic-highlands,"40° 25' 06"" N","74° 02' 06"" W"
sandy-hook,"40° 28' 01"" N","74° 00' 34"" W"
highlands,"40° 23' 46"" N","73° 58' 50"" W"
navesink-river-oceanic-bridge,"40° 22' 42"" N","74° 00' 45"" W"
red-bank-navesink-river,"40° 21' 18"" N","74° 03' 54"" W"
sea-bright,"40° 21' 54"" N","73° 58' 30"" W"
oceanport,"40° 19' 23"" N","74° 01' 08"" W"
long-branch-reach,"40° 19' 30"" N","73° 59' 48"" W"
shark-river-island-fixed-rr-bridge,"40° 11' 12"" N","74° 01' 33"" W"
shark-river-hills,"40° 11' 30"" N","74° 02' 18"" W"
new-bedford,"40° 10' 42"" N","74° 02' 48"" W"
long-branch-fishing-pier,"40° 18' 11"" N","73° 58' 36"" W"
belmar,"40° 11' 06"" N","74° 00' 30"" W"
manasquan-inlet-uscg-station,"40° 06' 06"" N","74° 02' 06"" W"
brielle,"40° 06' 15"" N","74° 03' 14"" W"
riviera-beach,"40° 05' 48"" N","74° 05' 12"" W"
beaverdam-creek-entrance,"40° 03' 42"" N","74° 03' 42"" W"
beaverdam-creek-inside,"40° 03' 42"" N","74° 04' 24"" W"
forge-pond,"40° 03' 59"" N","74° 08' 07"" W"
tall-pines-camp,"40° 03' 30"" N","74° 07' 00"" W"
seaside-heights,"39° 56' 36"" N","74° 02' 06"" W"
mantoloking,"40° 02' 12"" N","74° 03' 12"" W"
kettle-creek-green-island,"40° 00' 48"" N","74° 06' 48"" W"
ocean-beach,"39° 59' 18"" N","74° 04' 06"" W"
silver-bay,"39° 59' 48"" N","74° 08' 54"" W"
goose-creek-entrance,"39° 57' 48"" N","74° 06' 54"" W"
coates-point,"39° 56' 54"" N","74° 06' 54"" W"
toms-river,"39° 57' 00"" N","74° 11' 54"" W"
seaside-park,"39° 55' 18"" N","74° 04' 60"" W"
barnegat-pier,"39° 55' 06"" N","74° 06' 36"" W"
sloop-creek,"39° 54' 18"" N","74° 07' 60"" W"
cedar-creek,"39° 52' 12"" N","74° 09' 18"" W"
island-beach,"39° 51' 06"" N","74° 05' 18"" W"
stouts-creek,"39° 50' 42"" N","74° 09' 06"" W"
forked-river,"39° 49' 30"" N","74° 10' 24"" W"
oyster-creek,"39° 48' 30"" N","74° 11' 18"" W"
island-beach-sedge-islands,"39° 47' 18"" N","74° 05' 54"" W"
waretown,"39° 47' 30"" N","74° 10' 54"" W"
barnegat-inlet-uscg-station,"39° 45' 42"" N","74° 06' 42"" W"
high-bar,"39° 45' 24"" N","74° 07' 42"" W"
double-creek,"39° 44' 42"" N","74° 12' 06"" W"
loveladies-harbor,"39° 43' 30"" N","74° 08' 12"" W"
flat-creek,"39° 42' 24"" N","74° 11' 30"" W"
north-beach,"39° 40' 30"" N","74° 09' 36"" W"
manahawkin-creek,"39° 40' 00"" N","74° 12' 54"" W"
manahawkin-drawbridge,"39° 39' 12"" N","74° 11' 06"" W"
mill-creek-1-nm-above-entrance,"39° 39' 54"" N","74° 13' 54"" W"
cedar-run,"39° 39' 12"" N","74° 15' 24"" W"
dinner-point-creek-upper-end,"39° 39' 24"" N","74° 16' 12"" W"
beach-haven-crest,"39° 36' 48"" N","74° 12' 36"" W"
westecunk-creek-entrance,"39° 36' 48"" N","74° 15' 48"" W"
west-creek-westecunk-creek,"39° 37' 54"" N","74° 17' 48"" W"
parker-run-upper-end,"39° 37' 00"" N","74° 18' 36"" W"
tuckerton-creek-entrance,"39° 34' 36"" N","74° 19' 54"" W"
tuckerton-tuckerton-creek,"39° 36' 06"" N","74° 20' 30"" W"
beach-haven-coast-guard-station,"39° 32' 54"" N","74° 15' 24"" W"
shooting-thorofare-little-egg-inlet,"39° 30' 30"" N","74° 19' 30"" W"
little-sheepshead-creek,"39° 31' 18"" N","74° 19' 12"" W"
seven-island-newmans-thorofare,"39° 31' 00"" N","74° 20' 12"" W"
graveling-point,"39° 32' 24"" N","74° 23' 12"" W"
nacote-creek,"39° 31' 59"" N","74° 27' 52"" W"
cramers-boatyard,"39° 32' 54"" N","74° 27' 42"" W"
new-gretna-bass-river,"39° 35' 30"" N","74° 26' 30"" W"
wading-river,"39° 37' 06"" N","74° 29' 48"" W"
green-bank,"39° 36' 42"" N","74° 35' 24"" W"
sweetwater-mullica-river-marina,"39° 37' 30"" N","74° 38' 30"" W"
main-marsh-thorofare,"39° 28' 42"" N","74° 22' 60"" W"
brigantine,"39° 26' 06"" N","74° 21' 48"" W"
absecon,"39° 25' 21"" N","74° 29' 58"" W"
absecon-channel,"39° 23' 06"" N","74° 25' 30"" W"
atlantic-city,"39° 21' 18"" N","74° 25' 06"" W"
ventnor-city,"39° 20' 06"" N","74° 28' 36"" W"
longport-inside-great-egg-harbor-inlet,"39° 18' 30"" N","74° 31' 60"" W"
dock-thorofare-risley-channel,"39° 21' 05"" N","74° 32' 21"" W"
pleasantville-lakes-bay,"39° 22' 54"" N","74° 31' 06"" W"
beesleys-point,"39° 17' 18"" N","74° 37' 42"" W"
steelmanville-patcong-creek-25-nm-above-entrance,"39° 20' 06"" N","74° 35' 48"" W"
tuckahoe-tuckahoe-river,"39° 17' 41"" N","74° 44' 54"" W"
cedar-swamp-creek-tuckahoe-river,"39° 14' 47"" N","74° 43' 04"" W"
river-bend-marina-great-egg-harbor-river,"39° 22' 03"" N","74° 43' 01"" W"
mays-landing-great-egg-harbor-river,"39° 26' 54"" N","74° 43' 42"" W"
strathmere-strathmere-bay,"39° 12' 00"" N","74° 39' 24"" W"
middle-thorofare,"39° 12' 54"" N","74° 38' 54"" W"
ludlam-bay-west-side,"39° 10' 36"" N","74° 42' 36"" W"
townsends-inlet,"39° 07' 18"" N","74° 43' 00"" W"
townsend-sound,"39° 08' 48"" N","74° 45' 00"" W"
stites-sound,"39° 07' 12"" N","74° 45' 18"" W"
ingram-thorofare,"39° 06' 36"" N","74° 44' 18"" W"
long-reach-ingram-thorofare,"39° 06' 06"" N","74° 45' 18"" W"
stone-harbor-great-channel,"39° 03' 24"" N","74° 45' 54"" W"
nummy-island-grassy-sound-channel,"39° 01' 42"" N","74° 48' 06"" W"
west-wildwood-grassy-sound,"39° 00' 18"" N","74° 49' 36"" W"
old-turtle-thorofare,"39° 01' 06"" N","74° 50' 30"" W"
wildwood-crest-ocean-pier,"38° 58' 30"" N","74° 49' 24"" W"
swain-channel-taylor-sound,"38° 58' 48"" N","74° 51' 48"" W"
wildwood-crest-sunset-lake,"38° 58' 42"" N","74° 50' 12"" W"
cape-may-harbor,"38° 56' 54"" N","74° 53' 30"" W"
cape-island-creek-cape-may,"38° 56' 48"" N","74° 54' 48"" W"
cape-may-atlantic-ocean,"38° 55' 48"" N","74° 56' 06"" W"
brandywine-shoal-light,"38° 59' 12"" N","75° 06' 48"" W"
cape-may-point-sunset-beach,"38° 56' 48"" N","74° 58' 18"" W"
cape-may,"38° 58' 06"" N","74° 57' 36"" W"
north-highlands-beach,"39° 01' 06"" N","74° 57' 12"" W"
dias-creek,"39° 04' 60"" N","74° 53' 12"" W"
bidwell-creek-entrance,"39° 07' 42"" N","74° 53' 30"" W"
bidwell-creek-route-47-bridge,"39° 06' 58"" N","74° 52' 03"" W"
dennis-creek-25-nm-above-entrance,"39° 10' 42"" N","74° 51' 06"" W"
sluice-creek-route-47-bridge-dennis-creek,"39° 09' 42"" N","74° 49' 54"" W"
dennis-creek-route-47-bridge,"39° 10' 58"" N","74° 49' 13"" W"
east-creek-route-47-bridge,"39° 12' 27"" N","74° 54' 04"" W"
west-creek-07-nm-above-entrance,"39° 11' 16"" N","74° 54' 54"" W"
west-creek-route-47-bridge,"39° 13' 00"" N","74° 55' 27"" W"
riggins-ditch-05-nm-above-entrance,"39° 12' 02"" N","74° 58' 10"" W"
riggins-ditch-heislerville,"39° 13' 06"" N","74° 58' 48"" W"
east-point-maurice-river-cove,"39° 12' 00"" N","75° 01' 11"" W"
bivalve,"39° 13' 46"" N","75° 02' 09"" W"
mauricetown,"39° 17' 06"" N","74° 59' 30"" W"
port-elizabeth-manumuskin-river,"39° 18' 48"" N","74° 59' 06"" W"
menantico-creek-entrance,"39° 20' 31"" N","75° 00' 26"" W"
millville,"39° 23' 30"" N","75° 02' 30"" W"
dividing-creek-entrance,"39° 13' 00"" N","75° 06' 12"" W"
weir-creek-bridge-dividing-creek,"39° 14' 57"" N","75° 07' 42"" W"
fishing-creek-entrance,"39° 12' 59"" N","75° 09' 29"" W"
fortescue-creek,"39° 14' 18"" N","75° 10' 30"" W"
hollywood-beach-the-glades,"39° 16' 30"" N","75° 08' 30"" W"
money-island-nantuxent-creek-entrance,"39° 17' 06"" N","75° 14' 18"" W"
newport-landing-nantuxent-creek,"39° 17' 30"" N","75° 11' 54"" W"
cedar-creek-entrance-nantuxent-cove,"39° 17' 54"" N","75° 14' 48"" W"
back-creek-entrance-nantuxent-cove,"39° 18' 18"" N","75° 16' 42"" W"
ship-john-shoal,"39° 18' 18"" N","75° 22' 30"" W"
greenwich-pier-cohansey-river,"39° 22' 60"" N","75° 20' 60"" W"
tindalls-wharf-cohansey-river,"39° 22' 42"" N","75° 14' 06"" W"
stathems-neck-stow-creek,"39° 24' 24"" N","75° 24' 18"" W"
raccoon-ditch-newport-meadows-stow-creek,"39° 25' 18"" N","75° 22' 54"" W"
canton-stow-creek,"39° 27' 42"" N","75° 24' 12"" W"
mad-horse-creek-1-nm-above-entrance,"39° 25' 54"" N","75° 26' 48"" W"
pine-island-malapartis-creek,"39° 25' 18"" N","75° 25' 42"" W"
hope-creek-06-nm-above-entrance,"39° 27' 30"" N","75° 29' 42"" W"
artificial-island-salem-nuclear-plant,"39° 27' 36"" N","75° 31' 54"" W"
sinnickson-landing,"39° 34' 12"" N","75° 29' 54"" W"
salem,"39° 34' 36"" N","75° 28' 36"" W"
alloway-creek-08-nm-above-entrance,"39° 29' 48"" N","75° 31' 00"" W"
abbots-meadow,"39° 30' 42"" N","75° 29' 36"" W"
alloway-creek-25-nm-above-entrance,"39° 30' 18"" N","75° 28' 60"" W"
coopers-creek-bridge,"39° 30' 48"" N","75° 26' 48"" W"
quinton,"39° 32' 54"" N","75° 24' 54"" W"
salem-canal-entrance,"39° 40' 60"" N","75° 30' 36"" W"
pedricktown,"39° 45' 42"" N","75° 24' 12"" W"
auburn,"39° 42' 54"" N","75° 21' 36"" W"
bridgeport,"39° 48' 08"" N","75° 21' 19"" W"
billingsport,"39° 51' 00"" N","75° 15' 00"" W"
paulsboro-mantua-creek,"39° 50' 06"" N","75° 14' 18"" W"
mantua-mantua-creek,"39° 47' 42"" N","75° 10' 36"" W"
woodbury-creek,"39° 51' 36"" N","75° 11' 12"" W"
westville,"39° 52' 24"" N","75° 07' 24"" W"
pavonia-cooper-river,"39° 56' 37"" N","75° 06' 15"" W"
palmyra-pennsauken-creek,"39° 59' 36"" N","75° 01' 42"" W"
pompeston-creek,"40° 00' 48"" N","75° 00' 30"" W"
bridgeboro,"40° 01' 42"" N","74° 55' 54"" W"
north-branch,"39° 59' 52"" N","74° 49' 05"" W"
hainesport-south-branch,"39° 58' 43"" N","74° 49' 26"" W"
assiscunk-creek,"40° 04' 25"" N","74° 50' 54"" W"
fieldsboro,"40° 08' 09"" N","74° 44' 05"" W"
trenton,"40° 11' 18"" N","74° 45' 20"" W"
burlington,"40° 04' 48"" N","74° 52' 10"" W"
tacony-palmyra-bridge,"40° 00' 34"" N","75° 02' 32"" W"
rye,"40° 57' 42"" N","73° 40' 18"" W"
new-rochelle,"40° 53' 36"" N","73° 46' 54"" W"
dyckman-street-ferry-slip,"40° 52' 06"" N","73° 55' 60"" W"
throgs-neck-bronx,"40° 48' 18"" N","73° 47' 42"" W"
whitestone,"40° 47' 54"" N","73° 48' 48"" W"
college-point-flushing-bay,"40° 46' 60"" N","73° 51' 24"" W"
worlds-fair-marina-flushing-bay,"40° 45' 40"" N","73° 51' 01"" W"
hunts-point-bronx,"40° 47' 60"" N","73° 52' 24"" W"
north-brother-island,"40° 47' 54"" N","73° 53' 54"" W"
port-morris,"40° 47' 58"" N","73° 54' 24"" W"
wards-island,"40° 47' 11"" N","73° 55' 15"" W"
horns-hook,"40° 46' 36"" N","73° 56' 30"" W"
queensboro-bridge,"40° 45' 28"" N","73° 57' 27"" W"
new-york-city-east-41st-street,"40° 44' 48"" N","73° 58' 06"" W"
hunters-point-newtown-creek,"40° 44' 24"" N","73° 57' 42"" W"
williamsburg-bridge,"40° 42' 42"" N","73° 58' 06"" W"
wallabout-bay,"40° 42' 24"" N","73° 58' 30"" W"
brooklyn,"40° 42' 12"" N","73° 59' 42"" W"
harlem-river-randalls-island,"40° 47' 60"" N","73° 55' 42"" W"
willets-point,"40° 47' 36"" N","73° 46' 54"" W"
kings-point,"40° 48' 37"" N","73° 45' 54"" W"
port-washington-manhasset-bay,"40° 49' 54"" N","73° 42' 12"" W"
harry-tappen-marina-hempstead-harbor,"40° 50' 05"" N","73° 39' 09"" W"
glen-cove,"40° 51' 48"" N","73° 39' 18"" W"
oyster-bay-harbor,"40° 52' 23"" N","73° 31' 01"" W"
bayville,"40° 54' 08"" N","73° 32' 58"" W"
cold-spring-harbor,"40° 52' 24"" N","73° 28' 12"" W"
eatons-neck,"40° 57' 12"" N","73° 24' 00"" W"
lloyd-harbor-huntington-bay,"40° 54' 36"" N","73° 25' 54"" W"
northport-northport-bay,"40° 53' 60"" N","73° 21' 12"" W"
port-jefferson-harbor-entrance,"40° 58' 10"" N","73° 05' 36"" W"
port-jefferson,"40° 57' 00"" N","73° 04' 36"" W"
cedar-beach,"40° 57' 54"" N","73° 02' 36"" W"
mount-sinai-harbor,"40° 57' 48"" N","73° 02' 24"" W"
northville,"40° 58' 54"" N","72° 38' 42"" W"
mattituck,"41° 00' 54"" N","72° 33' 42"" W"
hashamomuck-beach,"41° 05' 42"" N","72° 23' 54"" W"
plum-gut-harbor-plum-island,"41° 10' 18"" N","72° 12' 18"" W"
little-gull-island,"41° 12' 24"" N","72° 06' 06"" W"
fishers-island,"41° 15' 24"" N","72° 01' 48"" W"
orient,"41° 08' 12"" N","72° 18' 24"" W"
greenport,"41° 06' 06"" N","72° 21' 42"" W"
southold,"41° 03' 36"" N","72° 24' 48"" W"
noyack-bay,"40° 59' 42"" N","72° 19' 54"" W"
sag-harbor,"41° 00' 12"" N","72° 17' 48"" W"
new-suffolk,"40° 59' 30"" N","72° 28' 18"" W"
jamesport,"40° 55' 46"" N","72° 34' 41"" W"
threemile-harbor-entrance-gardiners-bay,"41° 02' 06"" N","72° 11' 24"" W"
lake-montauk,"41° 04' 05"" N","71° 55' 45"" W"
montauk-harbor-entrance,"41° 04' 32"" N","71° 56' 15"" W"
montauk,"41° 02' 54"" N","71° 57' 36"" W"
shinnecock-inlet-ocean,"40° 50' 12"" N","72° 28' 48"" W"
west-moriches-inlet,"40° 45' 52"" N","72° 45' 22"" W"
shinnecock-bay,"40° 49' 12"" N","72° 33' 42"" W"
ponquoque-point,"40° 51' 00"" N","72° 30' 12"" W"
shinnecock-yacht-club-penniman-creek,"40° 49' 06"" N","72° 33' 12"" W"
moriches-coast-guard-station,"40° 47' 12"" N","72° 45' 00"" W"
smith-point-bridge-narrow-bay,"40° 44' 18"" N","72° 52' 06"" W"
democrat-point-fire-island-inlet,"40° 37' 60"" N","73° 17' 36"" W"
fire-island-coast-guard-station,"40° 37' 36"" N","73° 15' 36"" W"
fire-island-light,"40° 38' 06"" N","73° 13' 12"" W"
seaview-ferry-dock,"40° 38' 57"" N","73° 09' 02"" W"
west-fire-island,"40° 39' 24"" N","73° 12' 18"" W"
patchogue,"40° 45' 00"" N","73° 00' 00"" W"
great-river-connetquot-river,"40° 43' 24"" N","73° 09' 06"" W"
bay-shore-watchogue-creek-entrance,"40° 43' 00"" N","73° 14' 24"" W"
oak-beach,"40° 38' 24"" N","73° 17' 42"" W"
babylon,"40° 41' 06"" N","73° 18' 54"" W"
gilgo-heading,"40° 37' 12"" N","73° 23' 42"" W"
amityville,"40° 39' 18"" N","73° 25' 06"" W"
biltmore-shores-south-oyster-bay,"40° 40' 00"" N","73° 28' 06"" W"
jones-inlet-point-lookout,"40° 35' 12"" N","73° 34' 42"" W"
point-lookout-marina-jones-inlet,"40° 35' 38"" N","73° 35' 02"" W"
deep-creek-meadow,"40° 36' 12"" N","73° 31' 30"" W"
green-island,"40° 37' 24"" N","73° 30' 06"" W"
cuba-island,"40° 37' 12"" N","73° 31' 24"" W"
bellmore-bellmore-creek,"40° 39' 48"" N","73° 31' 12"" W"
neds-creek,"40° 37' 24"" N","73° 33' 18"" W"
freeport-baldwin-bay,"40° 37' 60"" N","73° 35' 12"" W"
baldwin-parsonage-cove-hempstead-bay,"40° 37' 60"" N","73° 37' 00"" W"
long-beach-inside,"40° 35' 55"" N","73° 38' 55"" W"
long-beach-bridgewater-yacht-club,"40° 35' 47"" N","73° 39' 18"" W"
bay-park-hewlett-bay,"40° 37' 48"" N","73° 40' 12"" W"
woodmere-brosewere-bay,"40° 37' 12"" N","73° 41' 54"" W"
east-rockaway-inlet,"40° 35' 36"" N","73° 44' 36"" W"
plumb-beach-channel,"40° 35' 06"" N","73° 55' 30"" W"
barren-island-rockaway-inlet,"40° 34' 42"" N","73° 53' 18"" W"
beach-channel-bridge,"40° 35' 18"" N","73° 49' 12"" W"
motts-basin,"40° 37' 00"" N","73° 45' 30"" W"
norton-point-head-of-bay,"40° 38' 06"" N","73° 44' 48"" W"
john-f-kennedy-international-airport,"40° 37' 24"" N","73° 46' 60"" W"
north-channel-bridge-grassy-bay,"40° 38' 42"" N","73° 50' 12"" W"
canarsie,"40° 37' 48"" N","73° 53' 06"" W"
mill-basin,"40° 36' 27"" N","73° 55' 04"" W"
coney-island,"40° 34' 12"" N","73° 58' 60"" W"
norton-point-gravesend-bay,"40° 35' 24"" N","73° 59' 54"" W"
fort-wadsworth,"40° 36' 24"" N","74° 03' 18"" W"
fort-hamilton,"40° 36' 30"" N","74° 02' 06"" W"
uscg-station-ny,"40° 36' 43"" N","74° 03' 36"" W"
st-george-staten-island,"40° 38' 36"" N","74° 04' 24"" W"
gowanus-bay,"40° 39' 54"" N","74° 00' 48"" W"
the-battery,"40° 42' 02"" N","74° 00' 51"" W"
spuyten-duyvil,"40° 52' 42"" N","73° 55' 30"" W"
riverdale,"40° 54' 12"" N","73° 55' 00"" W"
tarrytown,"41° 04' 42"" N","73° 52' 12"" W"
haverstraw,"41° 13' 06"" N","73° 57' 48"" W"
peekskill,"41° 17' 18"" N","73° 55' 54"" W"
newburgh,"41° 29' 60"" N","74° 00' 17"" W"
beacon-flushkill,"41° 30' 00"" N","73° 58' 60"" W"
new-hamburg,"41° 34' 60"" N","73° 57' 00"" W"
poughkeepsie,"41° 41' 57"" N","73° 56' 34"" W"
hyde-park,"41° 46' 60"" N","73° 57' 00"" W"
kingston,"41° 55' 06"" N","73° 58' 60"" W"
tivoli,"42° 03' 31"" N","73° 55' 28"" W"
hudson,"42° 15' 09"" N","73° 48' 03"" W"
castleton,"42° 31' 54"" N","73° 45' 29"" W"
albany,"42° 38' 60"" N","73° 44' 48"" W"
troy,"42° 43' 46"" N","73° 41' 42"" W"
bayonne-bridge,"40° 38' 25"" N","74° 08' 29"" W"
port-elizabeth,"40° 40' 24"" N","74° 08' 24"" W"
newark,"40° 41' 24"" N","74° 07' 60"" W"
port-ivory,"40° 38' 42"" N","74° 10' 48"" W"
rossville,"40° 33' 24"" N","74° 13' 24"" W"
great-kills-harbor,"40° 32' 36"" N","74° 08' 24"" W"
princes-bay,"40° 30' 42"" N","74° 12' 00"" W"
duck,"36° 10' 60"" N","75° 44' 48"" W"
kitty-hawk,"36° 06' 06"" N","75° 42' 36"" W"
nags-head,"35° 54' 36"" N","75° 35' 30"" W"
roanoke-sound-channel,"35° 47' 54"" N","75° 34' 60"" W"
oregon-inlet-marina,"35° 47' 42"" N","75° 32' 54"" W"
oregon-inlet,"35° 46' 00"" N","75° 31' 00"" W"
oregon-inlet-uscg-station,"35° 46' 06"" N","75° 31' 36"" W"
oregon-inlet-bridge,"35° 46' 24"" N","75° 32' 18"" W"
oregon-inlet-channel,"35° 46' 24"" N","75° 33' 30"" W"
old-house-channel,"35° 46' 36"" N","75° 35' 06"" W"
davis-slough,"35° 44' 54"" N","75° 33' 12"" W"
rodanthe-pamlico-sound,"35° 35' 42"" N","75° 28' 18"" W"
roanoke-marshes-light,"35° 48' 42"" N","75° 42' 00"" W"
oyster-creek,"35° 50' 42"" N","75° 39' 18"" W"
manns-harbor,"35° 54' 12"" N","75° 46' 12"" W"
cape-hatteras,"35° 13' 60"" N","75° 31' 00"" W"
cape-hatteras-fishing-pier,"35° 13' 24"" N","75° 38' 06"" W"
hatteras-pamlico-sound,"35° 12' 18"" N","75° 42' 11"" W"
peters-ditch,"35° 21' 00"" N","75° 30' 43"" W"
hatteras-inlet,"35° 12' 00"" N","75° 43' 60"" W"
ocracoke-inlet,"35° 04' 00"" N","76° 01' 00"" W"
ocracoke-ocracoke-island,"35° 06' 54"" N","75° 59' 18"" W"
cape-lookout-bight,"34° 36' 48"" N","76° 32' 18"" W"
cape-lookout-ocean,"34° 36' 30"" N","76° 31' 36"" W"
shell-point-harkers-island,"34° 40' 60"" N","76° 31' 60"" W"
harkers-island-bridge,"34° 42' 54"" N","76° 34' 42"" W"
davis-core-sound,"34° 47' 48"" N","76° 27' 20"" W"
channel-marker-lt-59,"34° 42' 12"" N","76° 37' 12"" W"
lenoxville-point,"34° 42' 30"" N","76° 37' 12"" W"
north-river-bridge,"34° 47' 30"" N","76° 36' 30"" W"
beaufort-inlet-channel-range,"34° 41' 54"" N","76° 39' 54"" W"
beaufort-taylor-creek,"34° 42' 38"" N","76° 38' 43"" W"
beaufort,"34° 43' 12"" N","76° 40' 12"" W"
gallant-channel,"34° 43' 42"" N","76° 40' 06"" W"
newport-river-yacht-club,"34° 46' 02"" N","76° 40' 18"" W"
core-creek-bridge,"34° 49' 26"" N","76° 41' 28"" W"
fort-macon-uscg-station,"34° 41' 54"" N","76° 40' 54"" W"
